id,latitude,longitude,title,description,product,other_product,service,province,address,status,promotion,old_picture,picture
10035275,13.58925,102.96941666666667,PTT BANTEAY MEANCHEY in CITY,"['Amazon', '7-Eleven']","['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Banteay Meanchey,"National Road 5, Tarang Ball Village, Sangkat Kampong Svay, Serie Saophoan Municipal, Banteay Meanchey Province",24h,[''],,2.png
10035465,12.759055555555555,103.45561111111111,PTT Moung Russey,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Battambang,"#527 National Road No.5, Kai 3 Village, Kai Commune, Moung Russey District, Battambong Province.",24h,[''],,2.png
10035495,11.440583333333334,104.85374999999999,PTT Vong Plov 20A,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Phnom Penh,"National Road No.20A, Thei Village, Sangkat Tean, Khan Dangkor, Phnom Penh, Cambodia.",16h,[''],,2.png
10035664,11.518861111111113,104.88927777777778,PTT Sambour Meas,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],['Cash'],Phnom Penh,"at # 15, Chamkar Doung Street (217),​ Mol Village, Sangkat Dangkor, Khan Dangkor, Phnom Penh",16h,[''],,2.png
10035854,11.566777777777778,104.82430555555555,PTT Kakap,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Phnom Penh,"#330, St. Be Tong, Kakap village, Sangkat Kakap Ti 2, Khan Pou Senchey, Phnom Penh",16h,[''],,2.png
10035000,11.502777777777778,104.68833333333333,PTT ANG SNUOL,"['Amazon', '7-Eleven']","['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Kandal,"# National Road 4, Trapeang Reang Village, Prey Puoch Commune, Angk Snoul District, Kandal Province, Cambodia",24h,[''],,2.png
10035868,12.287333333333333,104.58466666666666,PTT PONGRO,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],['Cash'],Kampong Chhnang,"#Land no 417, Street no, Toub Tbeng village, Pongro commune, Rolea Baear District, Kampong Chhnang province. ",16h,[''],,2.png
30080329,11.662138888888888,104.84516666666666,PTT Boeung Tamok,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],['Cash'],Phnom Penh,"#F56, Street Fortune,  Chong Thnol Khang Kert Village, Sangkat Tuek Thla, Khan Sen Sok, Phnom Penh.",16h,[''],,2.png
10036085,11.53363888888889,104.96119444444444,PTT Peng Huoth The Grand Star Platinum,"['Amazon', '7-Eleven']","['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Phnom Penh,"Borey Peng Huoth Boeung Snor, Street Claster, Boeung Chhouk Village, Sangkat Niroth, Khan Chbar Ampov, Phnom Penh.",24h,[''],,2.png
10035930,11.796416666666666,105.88061111111111,PTT PonheaKrek,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],"['Fleet card', 'Cash']",Tboung Khmum,"Kranhung Village, Veal Mlu Commune, Ponhea Krek District, Tboung Khmum Province, Cambodia.",16h,[''],,2.png
10035641,10.999472222222222,103.79091666666666,PTT KAMPONG SEILA,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],['Cash'],Preah Sihanouk,"# National Road 4, Kirivon Village, Stoeng Chhay Commune, Kampong Seila District, Sihanouk Ville, Cambodia",16h,[''],,2.png
10036179,11.571397222222222,105.65919722222223,PTT Kamchay Mea,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],['Cash'],Prey Veng,"Thnoul Keng Village, Smong Khang Cherng Commune, Kamchay Mea District, Prey Veng Province, Cambodia.",16h,[''],,2.png
30082047,11.543722222222222,104.96133333333334,PTT KOH NOREA,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],['Cash'],Phnom Penh,"At Koh Norea, Phum Russey Sros, Sangkat Niroth, Khan Chbar Ampov, Phnom Penh. ",16h,[''],,2.png
10037095,11.566,104.91130555555556,PTT Borey Keila,[],"['ULG 95', 'ULR 91', 'HSD']",[],['Cash'],Phnom Penh,"# 150 E0, St. 130, Phoum 1, Sangkat Phsar Kandal 2, Khan Daun Penh, Phnom Penh, Cambodia",16h,[],2.png,2.png
10037152,11.611749999999999,104.8068611111111,PTT Station Kobsrob Boeung Tamok,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],['Cash'],Phnom Penh,"Plot land No 379, Street Win Win Blvd, Trapeang Por Village, Sangkat Korkrokar, Khan Prek Pnov, Phnom Penh",16h,[''],,2.png
30082667,11.460722222222222,104.91005555555556,PTT Peng Huoth Road 50m,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],['Cash'],Phnom Penh,"#Land 449, Ring Road 2, Phum Prek Thleng, Sangkat Choeung Ek, Khan Dangkor, Phnom Penh.",16h,[''],,2.png
10037284,12.561361111111111,103.85255555555555,PTT Pursat II,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],['Cash'],Pursat,"# Plot land No.42, National Road No.05, Krapeu Rou Village, Snam Preah Commune, Bakan District , Pursat Province, Cambodia.",16h,[''],,2.png
10037327,11.53511111111111,104.88344444444445,PTT Veng Sreng Center,"['Amazon', '7-Eleven']","['ULG 95', 'ULR 91', 'HSD']",[''],['Cash'],Phnom Penh,"Veng Sreng Street, Trea 3 village, Sangkat Stueng Meanchey 1, Khan Meanchey, Phnom Penh, Cambodia",24h,[''],,2.png
30083692,13.675694444444444,102.56297222222221,PTT Poi Pet Five Stars,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],['Cash'],Banteay Meanchey,"#, Phum Sameakki Mean Chey, Sangkat Ou Chrov, Krong Paoy Paet,  ",24h,[''],,2.png
10037634,11.427083333333332,104.97725,PTT S'ang Tuol Krasang,['Amazon'],"['ULG 95', 'ULR 91', 'HSD']",[''],['Cash'],Kandal,"Land and Building# 59, National Road 21, Phum Toul Krasang, Sangkat Roka Khpos, Krong Ta Khmao, Kandal Province.
",16h,[''],,2.png
